instance	dwave_energy	cplex_energy	gap
randomIsingDWavePegasus_11_dense_12	-1712.3323486153436	-1723.0752905550657	0.6234748997103597
randomIsingDWavePegasus_11_dense_13	-1722.9390125099528	-1727.495697429031	0.26377402420508067
randomIsingDWavePegasus_11_dense_14	-1714.166096230364	-1721.071794168156	0.40124403648888346
randomIsingDWavePegasus_11_dense_15	-1723.0418461976778	-1723.3064186149809	0.015352604414697157
randomIsingDWavePegasus_11_dense_16	-1710.1719436107178	-1709.3035583988567	-0.05080345194358174
randomIsingDWavePegasus_11_dense_17	-1672.7742539242013	-1667.500203228729	-0.3162848607310625
randomIsingDWavePegasus_11_dense_18	-1733.9445093840345	-1733.9076220689137	-0.0021274094796803135
randomIsingDWavePegasus_11_dense_19	-1686.7891210311263	-1687.9784864931169	0.07046093723987573
randomIsingDWavePegasus_11_dense_2	-1712.667518566454	-1717.344572732325	0.2723422101849873
randomIsingDWavePegasus_11_dense_20	-1710.7773422968148	-1711.469858636468	0.040463250705733624
randomIsingDWavePegasus_11_dense_3	-1697.9613756306892	-1696.616108419136	-0.07929119645142649
randomIsingDWavePegasus_11_dense_4	-1714.452142165157	-1710.2886837610502	-0.2434360025671897
randomIsingDWavePegasus_11_dense_5	-1707.9258022360568	-1708.2800144282828	0.020735019389929017
randomIsingDWavePegasus_11_dense_6	-1727.003308704203	-1725.068173931615	-0.1121772925749053
randomIsingDWavePegasus_11_dense_7	-1716.2640551110976	-1719.9199014983483	0.2125591072041088
randomIsingDWavePegasus_11_dense_8	-1694.24512245277	-1684.6934241176268	-0.5669695268233084
randomIsingDWavePegasus_11_dense_9	-1744.715763971462	-1745.9786200836609	0.07232941444256913
randomIsingDWavePegasus_12_dense_1	-2092.5927149984454	-2094.7581288117585	0.10337297578796845
randomIsingDWavePegasus_12_dense_10	-2092.3897508359923	-2076.6788228004884	-0.7565410627300118
randomIsingDWavePegasus_12_dense_11	-2075.5110127169482	-2069.9738442592584	-0.26749944078019683
randomIsingDWavePegasus_12_dense_12	-2081.900382249667	-2081.418386927034	-0.023157060861007002
randomIsingDWavePegasus_12_dense_13	-2059.13028911825	-2059.9819958747153	0.041345349530769314
randomIsingDWavePegasus_12_dense_14	-2089.134978229522	-2090.4597578814446	0.0633726455114945
randomIsingDWavePegasus_12_dense_15	-2075.964768636459	-2067.745043572225	-0.3975212074518627
randomIsingDWavePegasus_12_dense_16	-2087.8994805721404	-2087.1147052371007	-0.03760096812458554
randomIsingDWavePegasus_12_dense_17	-2061.1451057028135	-2055.18483415995	-0.29001145998140393
randomIsingDWavePegasus_12_dense_18	-2034.7191529275162	-2011.5090751836528	-1.1538639338102061
randomIsingDWavePegasus_12_dense_19	-2071.166331120701	-2066.44490982641	-0.22848038541167415
randomIsingDWavePegasus_12_dense_2	-2086.422216208436	-2071.0844502011714	-0.7405669047331644
randomIsingDWavePegasus_12_dense_20	-2060.844908350632	-2054.4393458705727	-0.3117912676728378
randomIsingDWavePegasus_12_dense_3	-2041.1600671858212	-2028.6576656327004	-0.6162893703024802
randomIsingDWavePegasus_12_dense_4	-2090.601513823487	-2085.0770549720396	-0.2649522634318911
randomIsingDWavePegasus_12_dense_5	-2121.723276151738	-2120.009806249271	-0.08082367814601375
randomIsingDWavePegasus_12_dense_6	-2067.3619346320997	-2051.948857518645	-0.7511433365884738
randomIsingDWavePegasus_12_dense_7	-2039.3877656573425	-2031.2805671349856	-0.39911761346644575
randomIsingDWavePegasus_12_dense_8	-2032.4049891246689	-2023.4571159392453	-0.44220720641614003
randomIsingDWavePegasus_12_dense_9	-2038.2004685662112	-2035.3586535710424	-0.1396223211168601
randomIsingDWavePegasus_13_dense_1	-2473.4831680082766	-2456.614073238903	-0.686680702237149
randomIsingDWavePegasus_13_dense_10	-2451.2215732369314	-2440.776926195508	-0.42792304898192773
randomIsingDWavePegasus_13_dense_11	-2501.944255238873	-2488.152376748728	-0.55430200413076
randomIsingDWavePegasus_13_dense_12	-2445.1297125635424	-2422.227191905243	-0.9455149679945927
randomIsingDWavePegasus_13_dense_13	-2460.9474492293452	-2451.0779222558253	-0.4026606777330267
randomIsingDWavePegasus_13_dense_14	-2490.6457234825234	-2467.5246853401686	-0.9370134483241194
randomIsingDWavePegasus_13_dense_15	-2448.266591084258	-2454.8216824865895	0.2670292286033423
randomIsingDWavePegasus_13_dense_16	-2427.504758700588	-2417.8371915817893	-0.3998435937894533
randomIsingDWavePegasus_13_dense_17	-2447.8036357106016	-2443.2504079626333	-0.18635943876768435
randomIsingDWavePegasus_13_dense_18	-2426.6607910373973	-2403.6430001195263	-0.9576210326045264
randomIsingDWavePegasus_13_dense_19	-2493.2944685775456	-2487.909047064824	-0.2164637617711656
randomIsingDWavePegasus_13_dense_2	-2466.338370528375	-2451.3716814441195	-0.610543443801165
randomIsingDWavePegasus_13_dense_20	-2488.0351123124756	-2480.3397814643336	-0.310253091356656
