instance	dwave_energy	cplex_energy	gap	num_var
randomQuboDWaveClique_L=160_dense_1	-314.4844397302306	-398.3316285263738	21.049593552572144	2536
randomQuboDWaveClique_L=160_dense_10	-293.9253462889278	-369.2605299904253	20.40163450544007	2536
randomQuboDWaveClique_L=160_dense_11	-289.68734242149935	-378.29542132668644	23.42298476530261	2536
randomQuboDWaveClique_L=160_dense_12	-278.22851313806854	-363.9889997148355	23.561285270696466	2536
randomQuboDWaveClique_L=160_dense_13	-247.07193483774435	-327.3699775621756	24.528224402978644	2536
randomQuboDWaveClique_L=160_dense_14	-295.7629712883162	-361.04710986314944	18.081889258046804	2536
randomQuboDWaveClique_L=160_dense_15	-259.2340722319253	-350.1544475034813	25.96579192976038	2536
randomQuboDWaveClique_L=160_dense_16	-265.45878168572875	-341.0149433037109	22.15626121424572	2536
randomQuboDWaveClique_L=160_dense_17	-268.8232596150556	-357.6850763236576	24.843590798346266	2536
randomQuboDWaveClique_L=160_dense_18	-232.21417748587692	-329.55277075771204	29.53657256409435	2536
randomQuboDWaveClique_L=160_dense_19	-244.44713556521432	-330.24265411828304	25.979538827936903	2536
randomQuboDWaveClique_L=160_dense_2	-264.1394583504356	-348.71492604146613	24.253469345609137	2536
randomQuboDWaveClique_L=160_dense_20	-263.16973269431213	-347.5106550498192	24.27002485532881	2536
randomQuboDWaveClique_L=160_dense_3	-277.6981057057471	-368.58154827848676	24.65762135875328	2536
randomQuboDWaveClique_L=160_dense_4	-290.98069287295414	-375.06236038083875	22.418050007072956	2536
randomQuboDWaveClique_L=160_dense_5	-230.50645377928015	-316.4932790712405	27.16861019743971	2536
randomQuboDWaveClique_L=160_dense_6	-267.7258524017353	-366.4774350832082	26.94615635995473	2536
randomQuboDWaveClique_L=160_dense_7	-245.57226641473613	-331.29906570431604	25.875955643681458	2536
randomQuboDWaveClique_L=160_dense_8	-291.27589612658284	-368.6178328407206	20.98160474714666	2536
randomQuboDWaveClique_L=160_dense_9	-248.51254200370346	-339.92888239873963	26.89278408764454	2536
