instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomQuboDWaveClique_L=100_dense_16.h5,100,-162.75284,-162.75285,9.375436e-6,0.002871201,0.000529752
randomQuboDWaveClique_L=100_dense_17.h5,100,-187.89427,-187.89427,0.0,0.002928474,0.00054872
randomQuboDWaveClique_L=100_dense_18.h5,100,-160.05383,-160.05385,9.5335345e-6,0.003151038,0.000519337
randomQuboDWaveClique_L=100_dense_19.h5,100,-159.52583,-159.52582,-9.56509e-6,0.003110782,0.000520242
randomQuboDWaveClique_L=100_dense_2.h5,100,-178.89786,-178.89786,0.0,0.002974754,0.000544587
randomQuboDWaveClique_L=100_dense_20.h5,100,-176.74283,-176.74283,0.0,0.003141495,0.000533696
randomQuboDWaveClique_L=100_dense_3.h5,100,-175.26907,-175.26909,8.705922e-6,0.003087469,0.000535444
randomQuboDWaveClique_L=100_dense_4.h5,100,-168.68701,-168.687,-9.045622e-6,0.002973957,0.000534417
randomQuboDWaveClique_L=100_dense_5.h5,100,-167.36087,-167.36089,9.117297e-6,0.003175442,0.000550465
randomQuboDWaveClique_L=100_dense_6.h5,100,-173.35654,-173.35655,8.801968e-6,0.003186675,0.000542268
randomQuboDWaveClique_L=100_dense_7.h5,100,-147.6383,-147.6383,0.0,0.003131871,0.00053988
randomQuboDWaveClique_L=100_dense_8.h5,100,-161.01389,-161.01387,-9.476693e-6,0.003006299,0.000530707
randomQuboDWaveClique_L=100_dense_9.h5,100,-161.98108,-161.98108,0.0,0.003230914,0.000567421
randomQuboDWaveClique_L=120_dense_1.h5,120,-196.07425,-196.07425,0.0,0.003560263,0.000589294
randomQuboDWaveClique_L=120_dense_10.h5,120,-229.2573,-229.2573,0.0,0.003224251,0.00054045
randomQuboDWaveClique_L=120_dense_11.h5,120,-236.10483,-236.10483,0.0,0.003362387,0.000540772
randomQuboDWaveClique_L=120_dense_12.h5,120,-196.98978,-196.98978,0.0,0.003311917,0.000544338
randomQuboDWaveClique_L=120_dense_13.h5,120,-231.78717,-232.08093,0.12657748,0.003244884,0.000547057
randomQuboDWaveClique_L=120_dense_14.h5,120,-219.22229,-219.22227,-6.960419e-6,0.003207542,0.000554107
randomQuboDWaveClique_L=120_dense_15.h5,120,-218.90263,-218.90263,0.0,0.003101154,0.000541818
randomQuboDWaveClique_L=120_dense_16.h5,120,-229.84842,-229.84842,0.0,0.003200084,0.000547997
randomQuboDWaveClique_L=120_dense_17.h5,120,-249.27747,-249.27747,0.0,0.00323958,0.000542361
randomQuboDWaveClique_L=120_dense_18.h5,120,-211.4628,-211.46281,7.215826e-6,0.003335319,0.000546961
randomQuboDWaveClique_L=120_dense_19.h5,120,-257.44434,-257.44434,0.0,0.003238717,0.000533161
randomQuboDWaveClique_L=120_dense_2.h5,120,-233.1463,-233.29272,0.06276378,0.003202186,0.000542759
randomQuboDWaveClique_L=120_dense_20.h5,120,-211.61066,-211.61066,0.0,0.003270605,0.000572884
randomQuboDWaveClique_L=120_dense_3.h5,120,-219.09,-219.09,0.0,0.00323758,0.00057136
