topology,regime,solver,graph_size,num_var,gap_mean,gap_std,runtime_mean,runtime_std
zephyr,large,Custom VeloxQ,150.0,722400.0,0.1127063709538677,0.0027990066070442015,14.47816072526,1.7919855145638934
zephyr,large,D-Wave Kerberos,30.0,29280.0,0.026183905705903964,0.005649102367905813,274.960599069,66.59715323956753
zephyr,large,D-Wave Kerberos,40.0,51840.0,0.026725882432785876,0.002299776895112858,1168.793445093,362.1198782763097
zephyr,large,D-Wave Kerberos,50.0,80800.0,0.02666786107043127,0.002622428266296833,2323.4198538993996,860.6222511830738
zephyr,large,D-Wave Kerberos,60.0,116160.0,0.0253348870298583,0.001025467264136942,4757.044861991667,804.3754646625326
zephyr,large,Simulated Annealing,30.0,29280.0,,,1429.6497519969998,51.08282655730004
zephyr,large,Simulated Annealing,40.0,51840.0,,,2501.2563209046,104.84049593063071
zephyr,large,Simulated Annealing,50.0,80800.0,,,3866.3112894521996,174.05251503394717
zephyr,large,Simulated Annealing,60.0,116160.0,,,5511.708108434999,135.71337510006418
zephyr,large,Simulated Annealing,70.0,157920.0,,,7722.03354785,263.03771136811537
zephyr,large,Simulated Annealing,80.0,206080.0,,,9906.374576017799,249.228902583597
zephyr,large,Simulated Annealing,90.0,260640.0,,,12471.623225217802,423.80879118930267
zephyr,large,Simulated Annealing,100.0,321600.0,,,15441.5082206884,755.0193882386048
zephyr,large,Simulated Annealing,110.0,388960.0,,,19306.7663857822,796.174895337387
zephyr,large,Simulated Annealing,120.0,462720.0,,,22068.4140592376,869.965035674089
zephyr,large,Simulated Annealing,130.0,542880.0,,,26079.427627254598,699.4850912560562
zephyr,large,Simulated Annealing,140.0,629440.0,,,30337.8165562328,938.6334535658799
zephyr,large,Simulated Annealing,150.0,722400.0,,,35009.283985119,773.2492978077745
zephyr,small,AutoTune VeloxQ,1.0,48.0,-0.0004147516290682639,0.0024807903152082884,0.057552904035,0.060067677524296835
zephyr,small,AutoTune VeloxQ,2.0,159.0,0.0004747152391209854,0.001542727864590244,0.049809677605000005,0.014342212189103469
zephyr,small,AutoTune VeloxQ,3.0,331.0,-6.164508998691227e-07,0.002105708883774896,0.05604500015,0.0380381771488411
zephyr,small,AutoTune VeloxQ,4.0,566.0,9.331463267272772e-06,0.0010398502429124696,0.06486334887,0.020075597102556093
zephyr,small,AutoTune VeloxQ,5.0,865.0,0.0017838600892184293,0.0032249024670479463,0.078071952025,0.03496630392220401
zephyr,small,AutoTune VeloxQ,6.0,1222.0,0.004854528356438844,0.007080036875539935,0.11419094899999999,0.08039136470000682
zephyr,small,AutoTune VeloxQ,7.0,1641.0,0.007494568248908838,0.007249580651270657,0.15454340273,0.06502559341444933
zephyr,small,AutoTune VeloxQ,8.0,2116.0,0.012633901010539595,0.00918076607533522,0.21679098422999998,0.12232891770587374
zephyr,small,AutoTune VeloxQ,9.0,2649.0,0.017686388441138935,0.009739514070051643,0.315968523775,0.1349970183732122
zephyr,small,AutoTune VeloxQ,10.0,3225.0,0.01927401766108783,0.009500375266028887,0.48522638052,0.17721651176520403
zephyr,small,AutoTune VeloxQ,11.0,3870.0,0.025231266340890297,0.012784829919630406,0.43377484798,0.07966675124317077
zephyr,small,AutoTune VeloxQ,12.0,4580.0,0.025475982126111976,0.009824064884725632,0.63722767504,0.10722388153375506
zephyr,small,Custom VeloxQ,1.0,48.0,-0.0004147516290682639,0.0024807903152082884,0.011451828104999999,0.0002309951215559263
zephyr,small,Custom VeloxQ,2.0,159.0,0.0005843769952068868,0.0021359442356150876,0.01107708562,0.00011371067732011175
zephyr,small,Custom VeloxQ,3.0,331.0,0.0004922726160227054,0.004197981764741228,0.01159519302,0.0044240824355258656
zephyr,small,Custom VeloxQ,4.0,566.0,0.004009148810440497,0.010064458873387284,0.01197715314,0.004734056243760072
zephyr,small,Custom VeloxQ,5.0,865.0,0.009000422608411818,0.008358941465740705,0.01507968524,0.03271731296042768
