topology,regime,solver,graph_size,num_var,gap_mean,gap_std,runtime_mean,runtime_std
pegasus,large,Custom VeloxQ,110.0,286888.0,0.20170495319134982,0.005564771782466545,2.48387349538,0.6938580592938587
pegasus,large,Custom VeloxQ,120.0,341768.0,0.2050967247711306,0.006704781546422048,2.56187651198,0.7693043717115208
pegasus,large,Custom VeloxQ,130.0,401448.0,0.19905188887180378,0.005859617852910858,3.529234439786667,1.0366508347980419
pegasus,large,Custom VeloxQ,140.0,465928.0,0.2024912099364693,0.005624553417303533,3.9671925254266664,1.1401993842433071
pegasus,large,Custom VeloxQ,150.0,535208.0,0.20751845871007987,0.005450503845448365,4.049865492366666,1.1512643009521635
pegasus,large,D-Wave Kerberos,20.0,8968.0,0.030374971314694826,0.008393918663534434,26.7893650201,7.85617003567513
pegasus,large,D-Wave Kerberos,30.0,20648.0,0.02667676755227773,0.008339037717422417,141.28757007209998,40.99933684060878
pegasus,large,D-Wave Kerberos,40.0,37128.0,0.027862224627827954,0.0052564396946106606,514.526642791,160.2726856567871
pegasus,large,D-Wave Kerberos,50.0,58408.0,0.026889516616002623,0.0042448061927781635,1226.3466394911,524.5933405326568
pegasus,large,D-Wave Kerberos,60.0,84488.0,0.025470617801907257,0.0017892565664434851,3501.8427979124,912.5288180644171
pegasus,large,Simulated Annealing,20.0,8968.0,,,369.2463202857,14.302667294505635
pegasus,large,Simulated Annealing,30.0,20648.0,,,897.4304379591999,48.00886390913978
pegasus,large,Simulated Annealing,40.0,37128.0,,,1684.8295899891,113.60652875326028
pegasus,large,Simulated Annealing,50.0,58408.0,,,2699.6759337923,100.99827054579546
pegasus,large,Simulated Annealing,60.0,84488.0,,,3755.0085257692,137.94120963071256
pegasus,large,Simulated Annealing,70.0,115368.0,,,5057.7651588687995,124.0774111528024
pegasus,large,Simulated Annealing,80.0,151048.0,,,6635.6492034266,84.69508727191933
pegasus,large,Simulated Annealing,90.0,191528.0,,,9030.1179301532,238.88209221293627
pegasus,large,Simulated Annealing,100.0,236808.0,,,11176.5451638246,319.1839762751092
pegasus,large,Simulated Annealing,110.0,286888.0,,,13484.0623180508,878.6198462488684
pegasus,large,Simulated Annealing,120.0,341768.0,,,15853.896415265199,409.2211472123439
pegasus,large,Simulated Annealing,130.0,401448.0,,,18327.2349272884,222.44207423888594
pegasus,large,Simulated Annealing,140.0,465928.0,,,22105.954875694002,1188.8476332680489
pegasus,large,Simulated Annealing,150.0,535208.0,,,24759.2693389362,757.6027501604974
pegasus,small,AutoTune VeloxQ,2.0,40.0,0.00033542643627056015,0.0023971408072553783,0.052752777540000004,0.03536125887578594
pegasus,small,AutoTune VeloxQ,3.0,128.0,0.0005501145240055558,0.0019240322847983902,0.05575371815999999,0.039960057314453006
pegasus,small,AutoTune VeloxQ,4.0,264.0,4.246844742294911e-05,0.0015280288470280292,0.06219692343,0.06324035831353016
pegasus,small,AutoTune VeloxQ,5.0,448.0,1.0452274518233941e-05,0.000968772416022853,0.059994665275,0.01930148195105243
