instance,num_var,density,velox_energy,gap,runtime_velox
3R3X_Ising_with_HUBO_Float64_600_5_sparse.h5,600,0.009966666666666667,-288.5,3.8333335,0.00980557
3R3X_Ising_with_HUBO_Float64_600_6_sparse.h5,600,0.009977777777777778,-288.5,3.8333335,0.009847042
3R3X_Ising_with_HUBO_Float64_600_7_sparse.h5,600,0.009972222222222223,-288.0,4.0,0.010954594
3R3X_Ising_with_HUBO_Float64_600_8_sparse.h5,600,0.009977777777777778,-288.5,3.8333335,0.009827971
3R3X_Ising_with_HUBO_Float64_600_9_sparse.h5,600,0.009977777777777778,-287.5,4.166667,0.010307491
3R3X_Ising_with_HUBO_Float64_1000_10_sparse.h5,1000,0.00599,-479.5,4.1,0.010534363
3R3X_Ising_with_HUBO_Float64_1000_1_sparse.h5,1000,0.005994,-481.5,3.7,0.00930699
3R3X_Ising_with_HUBO_Float64_1000_2_sparse.h5,1000,0.005996,-480.0,4.0,0.010104155
3R3X_Ising_with_HUBO_Float64_1000_3_sparse.h5,1000,0.005998,-480.0,4.0,0.011566356
3R3X_Ising_with_HUBO_Float64_1000_4_sparse.h5,1000,0.00599,-481.5,3.7,0.009982348
3R3X_Ising_with_HUBO_Float64_1000_5_sparse.h5,1000,0.005994,-479.0,4.2,0.010238669
3R3X_Ising_with_HUBO_Float64_1000_6_sparse.h5,1000,0.00599,-481.5,3.7,0.010481886
3R3X_Ising_with_HUBO_Float64_1000_7_sparse.h5,1000,0.005986,-479.5,4.1,0.01543669
3R3X_Ising_with_HUBO_Float64_1000_8_sparse.h5,1000,0.005982,-479.5,4.1,0.009162036
3R3X_Ising_with_HUBO_Float64_1000_9_sparse.h5,1000,0.005992,-479.5,4.1,0.010125461
3R3X_Ising_with_HUBO_Float64_2000_10_sparse.h5,2000,0.002996,-959.5,4.05,0.012478149
3R3X_Ising_with_HUBO_Float64_2000_1_sparse.h5,2000,0.002998,-957.5,4.25,0.013541724
3R3X_Ising_with_HUBO_Float64_2000_2_sparse.h5,2000,0.0029985,-955.0,4.5,0.013336878
3R3X_Ising_with_HUBO_Float64_2000_3_sparse.h5,2000,0.0029985,-955.0,4.5,0.024690072
3R3X_Ising_with_HUBO_Float64_2000_4_sparse.h5,2000,0.002998,-956.5,4.35,0.013154578
3R3X_Ising_with_HUBO_Float64_2000_5_sparse.h5,2000,0.0029965,-958.0,4.2,0.012808306
3R3X_Ising_with_HUBO_Float64_2000_6_sparse.h5,2000,0.002999,-959.5,4.05,0.012485453
3R3X_Ising_with_HUBO_Float64_2000_7_sparse.h5,2000,0.002998,-955.5,4.4500003,0.012645936
3R3X_Ising_with_HUBO_Float64_2000_8_sparse.h5,2000,0.0029975,-957.5,4.25,0.011364229
3R3X_Ising_with_HUBO_Float64_2000_9_sparse.h5,2000,0.0029995,-957.0,4.3,0.012580267
3R3X_Ising_Float64_1_v=1.0.h5,10000,0.00059992,-19056.0,4.7200003,0.040118158
3R3X_Ising_Float64_2_v=1.0.h5,10000,0.00059988,-19060.0,4.7,0.031242443
3R3X_Ising_Float64_3_v=1.0.h5,10000,0.00059994,-19076.0,4.62,0.032110498
3R3X_Ising_Float64_4_v=1.0.h5,10000,0.00059986,-19074.0,4.63,0.032229238
3R3X_Ising_Float64_5_v=1.0.h5,10000,0.00059984,-19082.0,4.5899997,0.037132693
3R3X_Ising_Float64_6_v=1.0.h5,10000,0.0005999,-19050.0,4.75,0.036761565
3R3X_Ising_Float64_7_v=1.0.h5,10000,0.0005999,-19072.0,4.64,0.038111638
3R3X_Ising_Float64_8_v=1.0.h5,10000,0.00059982,-19098.0,4.5099998,0.038985818
3R3X_Ising_Float64_9_v=1.0.h5,10000,0.00059992,-19092.0,4.54,0.037683692
3R3X_Ising_Float64_10_v=1.0.h5,10000,0.00059996,-19060.0,4.7,0.044315373
3R3X_Ising_Float64_1_v=1.0.h5,20000,0.000299945,-38116.0,4.71,0.060674954
3R3X_Ising_Float64_2_v=1.0.h5,20000,0.000299975,-38082.0,4.795,0.061192195
3R3X_Ising_Float64_3_v=1.0.h5,20000,0.00029999,-38144.0,4.64,0.057629163
3R3X_Ising_Float64_4_v=1.0.h5,20000,0.00029997,-38138.0,4.6549997,0.061280307
3R3X_Ising_Float64_5_v=1.0.h5,20000,0.00029998,-38150.0,4.625,0.061858073
3R3X_Ising_Float64_6_v=1.0.h5,20000,0.000299975,-38140.0,4.65,0.059437299
3R3X_Ising_Float64_7_v=1.0.h5,20000,0.00029997,-38108.0,4.73,0.062568941
3R3X_Ising_Float64_8_v=1.0.h5,20000,0.000299985,-38148.0,4.63,0.060193487
3R3X_Ising_Float64_9_v=1.0.h5,20000,0.00029999,-38124.0,4.69,0.059726746
3R3X_Ising_Float64_10_v=1.0.h5,20000,0.00029998,-38122.0,4.695,0.061152915
3R3X_Ising_Float64_1_v=1.0.h5,30000,0.00019999111111111112,-57118.0,4.8033333,0.086024254
3R3X_Ising_Float64_2_v=1.0.h5,30000,0.00019999333333333333,-57168.0,4.7200003,0.119323556
3R3X_Ising_Float64_3_v=1.0.h5,30000,0.00019999777777777777,-57164.0,4.7266665,0.081663214
3R3X_Ising_Float64_4_v=1.0.h5,30000,0.00019998666666666667,-57204.0,4.66,0.0847422
3R3X_Ising_Float64_5_v=1.0.h5,30000,0.00019998888888888888,-57144.0,4.76,0.079727226
3R3X_Ising_Float64_6_v=1.0.h5,30000,0.00019999555555555556,-57202.0,4.6633334,0.084904
3R3X_Ising_Float64_7_v=1.0.h5,30000,0.00019999111111111112,-57132.0,4.78,0.084390061
3R3X_Ising_Float64_8_v=1.0.h5,30000,0.00019999333333333333,-57158.0,4.7366667,0.080622158
3R3X_Ising_Float64_9_v=1.0.h5,30000,0.00019999111111111112,-57152.0,4.7466664,0.083023592
3R3X_Ising_Float64_10_v=1.0.h5,30000,0.00019999111111111112,-57184.0,4.6933336,0.086060337
3R3X_Ising_Float64_1_v=1.0.h5,40000,0.000149995,-76136.0,4.8300004,0.107402211
3R3X_Ising_Float64_2_v=1.0.h5,40000,0.00014998875,-76154.0,4.8075004,0.110784723
3R3X_Ising_Float64_3_v=1.0.h5,40000,0.00014999625,-76204.0,4.745,0.146999658
3R3X_Ising_Float64_4_v=1.0.h5,40000,0.000149995,-76228.0,4.715,0.100703277
3R3X_Ising_Float64_5_v=1.0.h5,40000,0.0001499975,-76204.0,4.745,0.110566855
3R3X_Ising_Float64_6_v=1.0.h5,40000,0.00014998625,-76222.0,4.7225,0.111161545
3R3X_Ising_Float64_7_v=1.0.h5,40000,0.00014999875,-76154.0,4.8075004,0.108143822
3R3X_Ising_Float64_8_v=1.0.h5,40000,0.000149995,-76204.0,4.745,0.105673433
3R3X_Ising_Float64_9_v=1.0.h5,40000,0.00014999125,-76216.0,4.73,0.107407928
3R3X_Ising_Float64_10_v=1.0.h5,40000,0.0001499975,-76228.0,4.715,0.108146462
3R3X_Ising_Float64_1_v=1.0.h5,50000,0.000119992,-95296.0,4.704,0.165067414
3R3X_Ising_Float64_2_v=1.0.h5,50000,0.0001199928,-95262.0,4.738,0.132087787
3R3X_Ising_Float64_3_v=1.0.h5,50000,0.0001199984,-95214.0,4.7860003,0.127271022
3R3X_Ising_Float64_4_v=1.0.h5,50000,0.0001199936,-95192.0,4.808,0.142377581
3R3X_Ising_Float64_5_v=1.0.h5,50000,0.0001199968,-95236.0,4.764,0.136478746
3R3X_Ising_Float64_6_v=1.0.h5,50000,0.0001199952,-95218.0,4.782,0.132269641
3R3X_Ising_Float64_7_v=1.0.h5,50000,0.0001199952,-95266.0,4.7339997,0.136049413
3R3X_Ising_Float64_8_v=1.0.h5,50000,0.0001199984,-95158.0,4.842,0.132714818
3R3X_Ising_Float64_9_v=1.0.h5,50000,0.0001199984,-95204.0,4.796,0.132730058
3R3X_Ising_Float64_10_v=1.0.h5,50000,0.0001199952,-95184.0,4.816,0.216154751
3R3X_Ising_Float64_1_v=1.0.h5,60000,9.999722222222222e-5,-114230.0,4.8083334,0.15007093
3R3X_Ising_Float64_2_v=1.0.h5,60000,9.999777777777778e-5,-114242.0,4.798333,0.158717966
3R3X_Ising_Float64_3_v=1.0.h5,60000,9.9995e-5,-114256.0,4.7866664,0.161843698
3R3X_Ising_Float64_4_v=1.0.h5,60000,9.999888888888889e-5,-114202.0,4.8316665,0.154654524
3R3X_Ising_Float64_5_v=1.0.h5,60000,9.999666666666666e-5,-114320.0,4.7333336,0.156101082
3R3X_Ising_Float64_6_v=1.0.h5,60000,9.999722222222222e-5,-114232.0,4.806667,0.155533052
3R3X_Ising_Float64_7_v=1.0.h5,60000,9.999666666666666e-5,-114294.0,4.755,0.215422783
3R3X_Ising_Float64_8_v=1.0.h5,60000,9.999888888888889e-5,-114156.0,4.87,0.148570508
3R3X_Ising_Float64_9_v=1.0.h5,60000,9.999777777777778e-5,-114248.0,4.793333,0.158703836
3R3X_Ising_Float64_10_v=1.0.h5,60000,9.999888888888889e-5,-114256.0,4.7866664,0.15315885
3R3X_Ising_Float64_1_v=1.0.h5,70000,8.571265306122449e-5,-133250.0,4.821429,0.176379785
3R3X_Ising_Float64_2_v=1.0.h5,70000,8.57134693877551e-5,-133314.0,4.775714,0.295093118
3R3X_Ising_Float64_3_v=1.0.h5,70000,8.57134693877551e-5,-133298.0,4.7871428,0.171852951
3R3X_Ising_Float64_4_v=1.0.h5,70000,8.571265306122449e-5,-133230.0,4.8357143,0.180188471
3R3X_Ising_Float64_5_v=1.0.h5,70000,8.571265306122449e-5,-133340.0,4.757143,0.177825142
3R3X_Ising_Float64_6_v=1.0.h5,70000,8.571224489795918e-5,-133336.0,4.76,0.183233276
3R3X_Ising_Float64_7_v=1.0.h5,70000,8.571224489795918e-5,-133336.0,4.76,0.181928054
3R3X_Ising_Float64_8_v=1.0.h5,70000,8.571224489795918e-5,-133294.0,4.79,0.303964722
3R3X_Ising_Float64_9_v=1.0.h5,70000,8.571102040816327e-5,-133292.0,4.7914286,0.17303297
3R3X_Ising_Float64_10_v=1.0.h5,70000,8.571224489795918e-5,-133366.0,4.7385716,0.178600454
3R3X_Ising_Float64_1_v=1.0.h5,80000,7.499875e-5,-152336.0,4.79,0.205558819
3R3X_Ising_Float64_2_v=1.0.h5,80000,7.499875e-5,-152376.0,4.765,0.207747261
3R3X_Ising_Float64_3_v=1.0.h5,80000,7.49978125e-5,-152280.0,4.8250003,0.282037819
3R3X_Ising_Float64_4_v=1.0.h5,80000,7.4999375e-5,-152328.0,4.795,0.208342845
3R3X_Ising_Float64_5_v=1.0.h5,80000,7.499875e-5,-152196.0,4.8775,0.200959703
3R3X_Ising_Float64_6_v=1.0.h5,80000,7.4998125e-5,-152348.0,4.7825003,0.203147053
3R3X_Ising_Float64_7_v=1.0.h5,80000,7.49984375e-5,-152358.0,4.77625,0.208422488
3R3X_Ising_Float64_8_v=1.0.h5,80000,7.49984375e-5,-152256.0,4.84,0.291635582
3R3X_Ising_Float64_9_v=1.0.h5,80000,7.499875e-5,-152306.0,4.80875,0.223363418
3R3X_Ising_Float64_10_v=1.0.h5,80000,7.499875e-5,-152380.0,4.7625003,0.202996185
3R3X_Ising_Float64_1_v=1.0.h5,90000,6.666469135802469e-5,-171322.0,4.821111,0.241786448
3R3X_Ising_Float64_2_v=1.0.h5,90000,6.666493827160494e-5,-171266.0,4.8522224,0.22900861
3R3X_Ising_Float64_3_v=1.0.h5,90000,6.666543209876543e-5,-171352.0,4.8044443,0.308490079
3R3X_Ising_Float64_4_v=1.0.h5,90000,6.666444444444445e-5,-171342.0,4.81,0.236676591
3R3X_Ising_Float64_5_v=1.0.h5,90000,6.666518518518518e-5,-171438.0,4.7566667,0.227825016
3R3X_Ising_Float64_6_v=1.0.h5,90000,6.666617283950618e-5,-171332.0,4.8155556,0.229299449
3R3X_Ising_Float64_7_v=1.0.h5,90000,6.666617283950618e-5,-171448.0,4.751111,0.275957229
3R3X_Ising_Float64_8_v=1.0.h5,90000,6.666641975308642e-5,-171394.0,4.781111,0.225841641
3R3X_Ising_Float64_9_v=1.0.h5,90000,6.666567901234569e-5,-171406.0,4.7744446,0.236183871
3R3X_Ising_Float64_10_v=1.0.h5,90000,6.666518518518518e-5,-171400.0,4.777778,0.237164639
3R3X_Ising_Float64_1_v=1.0.h5,100000,5.99988e-5,-190392.0,4.804,0.250786855
3R3X_Ising_Float64_2_v=1.0.h5,100000,5.9999e-5,-190414.0,4.7929997,0.387678883
3R3X_Ising_Float64_3_v=1.0.h5,100000,5.99984e-5,-190444.0,4.778,0.277024966
3R3X_Ising_Float64_4_v=1.0.h5,100000,5.99986e-5,-190348.0,4.8259997,0.252276125
3R3X_Ising_Float64_5_v=1.0.h5,100000,5.99988e-5,-190336.0,4.832,0.24982048
3R3X_Ising_Float64_6_v=1.0.h5,100000,5.99992e-5,-190370.0,4.815,0.264557648
3R3X_Ising_Float64_7_v=1.0.h5,100000,5.99998e-5,-190432.0,4.784,0.338469827
3R3X_Ising_Float64_8_v=1.0.h5,100000,5.99988e-5,-190420.0,4.79,0.250251952
