instance,num_var,ground_energy,pa_energy,gap,pa_runtime
wishart_planting_N_100_alpha_1.20_inst_10_sparse.h5,100,-59.058459,-59.0584602355957,-2.092157033718858e-6,0.211942045
wishart_planting_N_100_alpha_1.40_inst_1_sparse.h5,100,-70.793025,-70.79302978515625,-6.759361179874784e-6,0.185100074
wishart_planting_N_100_alpha_1.40_inst_2_sparse.h5,100,-68.733326,-68.73332214355469,5.610735784488913e-6,0.186374412
wishart_planting_N_100_alpha_1.40_inst_3_sparse.h5,100,-71.04618,-71.04618072509766,-1.0206004734931728e-6,0.224456713
wishart_planting_N_100_alpha_1.40_inst_4_sparse.h5,100,-70.642853,-70.64285278320312,3.068914520471312e-7,0.199496625
wishart_planting_N_100_alpha_1.40_inst_5_sparse.h5,100,-70.081524,-70.08152770996094,-5.293778907824248e-6,0.195402863
wishart_planting_N_100_alpha_1.40_inst_6_sparse.h5,100,-69.244978,-69.24497985839844,-2.6838024762623e-6,0.183105949
wishart_planting_N_100_alpha_1.40_inst_7_sparse.h5,100,-69.761168,-69.76116943359375,-2.0550025082058307e-6,0.190356296
wishart_planting_N_100_alpha_1.40_inst_8_sparse.h5,100,-70.319192,-70.3191909790039,1.4519451457582982e-6,0.223226233
wishart_planting_N_100_alpha_1.40_inst_9_sparse.h5,100,-70.924611,-70.92461395263672,-4.163063678996505e-6,0.209166247
wishart_planting_N_100_alpha_1.40_inst_10_sparse.h5,100,-71.116702,-71.11669921875,3.910825341192228e-6,0.193771154
wishart_planting_N_100_alpha_1.60_inst_1_sparse.h5,100,-79.215786,-79.21578216552734,4.840541064012392e-6,0.184940387
wishart_planting_N_100_alpha_1.60_inst_2_sparse.h5,100,-80.412199,-80.41220092773438,-2.3973158275496196e-6,0.178499301
wishart_planting_N_100_alpha_1.60_inst_3_sparse.h5,100,-78.69371,-78.69371032714844,-4.1572374929334663e-7,0.22478148
wishart_planting_N_100_alpha_1.60_inst_4_sparse.h5,100,-78.54277,-78.54276275634766,9.22255778369619e-6,0.227159611
wishart_planting_N_100_alpha_1.60_inst_5_sparse.h5,100,-79.043742,-79.04374694824219,-6.260131501468492e-6,0.199204777
wishart_planting_N_100_alpha_1.60_inst_6_sparse.h5,100,-80.337397,-80.33739471435547,2.8450567386171394e-6,0.186623046
wishart_planting_N_100_alpha_1.60_inst_7_sparse.h5,100,-80.39567,-80.39567565917969,-7.039159810440929e-6,0.233172427
wishart_planting_N_100_alpha_1.60_inst_8_sparse.h5,100,-80.04782,-80.04781341552734,8.225673925633391e-6,0.187061079
wishart_planting_N_100_alpha_1.60_inst_9_sparse.h5,100,-80.08757,-80.08757019042969,-2.377768335565831e-7,0.210236718
wishart_planting_N_100_alpha_1.60_inst_10_sparse.h5,100,-79.311867,-79.31187438964844,-9.317203982784017e-6,0.186948413
wishart_planting_N_100_alpha_1.80_inst_1_sparse.h5,100,-90.065434,-90.06543731689453,-3.6827608414484394e-6,0.201128904
wishart_planting_N_100_alpha_1.80_inst_2_sparse.h5,100,-90.394316,-90.3943099975586,6.6402863313789865e-6,0.187462356
wishart_planting_N_100_alpha_1.80_inst_3_sparse.h5,100,-92.354866,-92.3548583984375,8.2308196963179e-6,0.228575057
wishart_planting_N_100_alpha_1.80_inst_4_sparse.h5,100,-89.145192,-89.14518737792969,5.184878963451692e-6,0.192026297
wishart_planting_N_100_alpha_1.80_inst_5_sparse.h5,100,-90.893227,-90.89322662353516,4.1418360000179587e-7,0.175170268
wishart_planting_N_100_alpha_1.80_inst_6_sparse.h5,100,-90.042626,-90.0426254272461,6.360919602105166e-7,0.207564934
wishart_planting_N_100_alpha_1.80_inst_7_sparse.h5,100,-89.117151,-89.11715698242188,-6.7129859976240565e-6,0.18420541
wishart_planting_N_100_alpha_1.80_inst_8_sparse.h5,100,-90.119729,-90.1197280883789,1.0115666242024244e-6,0.211599363
wishart_planting_N_100_alpha_1.80_inst_9_sparse.h5,100,-91.179731,-91.17973327636719,-2.4965715062705158e-6,0.187069389
wishart_planting_N_100_alpha_1.80_inst_10_sparse.h5,100,-88.554309,-88.55430603027344,3.3535652861266963e-6,0.194915307
wishart_planting_N_100_alpha_2.00_inst_1_sparse.h5,100,-100.38973,-100.38972473144531,5.248101262581219e-6,0.210143007
wishart_planting_N_100_alpha_2.00_inst_2_sparse.h5,100,-99.911056,-99.91105651855469,-5.190163192886472e-7,0.189791481
wishart_planting_N_100_alpha_2.00_inst_3_sparse.h5,100,-101.32963,-101.32962799072266,1.982911946178511e-6,0.187172968
wishart_planting_N_100_alpha_2.00_inst_4_sparse.h5,100,-100.25968,-100.25968170166016,-1.6972527273480998e-6,0.180792747
wishart_planting_N_100_alpha_2.00_inst_5_sparse.h5,100,-98.635221,-98.63522338867188,-2.421723041135701e-6,0.196402525
wishart_planting_N_100_alpha_2.00_inst_6_sparse.h5,100,-100.3258,-100.32579803466797,1.9589497738644564e-6,0.184845311
wishart_planting_N_100_alpha_2.00_inst_7_sparse.h5,100,-100.47598,-100.47598266601562,-2.653386031215533e-6,0.214803856
wishart_planting_N_100_alpha_2.00_inst_8_sparse.h5,100,-100.13605,-100.13605499267578,-4.9858924771950485e-6,0.198026665
wishart_planting_N_100_alpha_2.00_inst_9_sparse.h5,100,-102.01757,-102.01757049560547,-4.858040261566726e-7,0.215510818
wishart_planting_N_100_alpha_2.00_inst_10_sparse.h5,100,-100.55345,-100.55345153808594,-1.5296202561929883e-6,0.212762728
wishart_planting_N_100_alpha_2.20_inst_1_sparse.h5,100,-110.35406,-110.35406494140625,-4.477774760585921e-6,0.196521932
wishart_planting_N_100_alpha_2.20_inst_2_sparse.h5,100,-109.07443,-109.07443237304688,-2.1756216084214226e-6,0.191539832
wishart_planting_N_100_alpha_2.20_inst_3_sparse.h5,100,-110.46,-110.45999908447266,8.288315566695853e-7,0.193688341
wishart_planting_N_100_alpha_2.20_inst_4_sparse.h5,100,-109.99738,-109.99738311767578,-2.8343182123368185e-6,0.232027411
wishart_planting_N_100_alpha_2.20_inst_5_sparse.h5,100,-111.07848,-111.07847595214844,3.644136615386714e-6,0.207160774
wishart_planting_N_100_alpha_2.20_inst_6_sparse.h5,100,-110.83804,-110.8380355834961,3.984646347776861e-6,0.186385164
wishart_planting_N_100_alpha_2.20_inst_7_sparse.h5,100,-110.71367,-110.71366882324219,1.0628839292069681e-6,0.191535698
wishart_planting_N_100_alpha_2.20_inst_8_sparse.h5,100,-112.85785,-112.85784149169922,7.538953453714778e-6,0.190276294
wishart_planting_N_100_alpha_2.20_inst_9_sparse.h5,100,-111.29771,-111.29771423339844,-3.8036707515957348e-6,0.197892252
wishart_planting_N_100_alpha_2.20_inst_10_sparse.h5,100,-108.19799,-108.19799041748047,-3.858486321426167e-7,0.211190261
wishart_planting_N_100_alpha_2.40_inst_1_sparse.h5,100,-118.61147,-118.6114730834961,-2.5996609743379564e-6,0.222402706
wishart_planting_N_100_alpha_2.40_inst_2_sparse.h5,100,-121.09466,-121.09465789794922,1.735874055783573e-6,0.190287285
wishart_planting_N_100_alpha_2.40_inst_3_sparse.h5,100,-120.27533,-120.27532196044922,6.6842891040032975e-6,0.208161363
wishart_planting_N_100_alpha_2.40_inst_4_sparse.h5,100,-120.47594,-120.4759292602539,8.914432282501005e-6,0.194006847
wishart_planting_N_100_alpha_2.40_inst_5_sparse.h5,100,-119.42313,-119.42313385009766,-3.223912868302648e-6,0.193858126
wishart_planting_N_100_alpha_2.40_inst_6_sparse.h5,100,-121.17712,-121.17711639404297,2.975773837020221e-6,0.221460609
wishart_planting_N_100_alpha_2.40_inst_7_sparse.h5,100,-118.24669,-118.2466812133789,7.4307543785911176e-6,0.210694442
wishart_planting_N_100_alpha_2.40_inst_8_sparse.h5,100,-119.34295,-119.34295654296875,-5.482492889722884e-6,0.187296452
wishart_planting_N_100_alpha_2.40_inst_9_sparse.h5,100,-119.17365,-119.17364501953125,4.1791694262742155e-6,0.197101403
wishart_planting_N_100_alpha_2.40_inst_10_sparse.h5,100,-119.0168,-119.01679992675781,6.153937173476117e-8,0.194200268
wishart_planting_N_100_alpha_2.60_inst_1_sparse.h5,100,-132.08266,-132.08265686035156,2.377033019833626e-6,0.19621357
wishart_planting_N_100_alpha_2.60_inst_2_sparse.h5,100,-128.34495,-128.34495544433594,-4.241955703037666e-6,0.192031475
wishart_planting_N_100_alpha_2.60_inst_3_sparse.h5,100,-131.30471,-131.30471801757812,-6.106085703219344e-6,0.196480763
wishart_planting_N_100_alpha_2.60_inst_4_sparse.h5,100,-131.24869,-131.24868774414062,1.7187671629436898e-6,0.191380423
wishart_planting_N_100_alpha_2.60_inst_5_sparse.h5,100,-131.72471,-131.72470092773438,6.887292150827912e-6,0.174649818
wishart_planting_N_100_alpha_2.60_inst_6_sparse.h5,100,-129.15398,-129.1539764404297,2.756067062365208e-6,0.196081263
wishart_planting_N_100_alpha_2.60_inst_7_sparse.h5,100,-130.12666,-130.12664794921875,9.260808843394722e-6,0.242058034
wishart_planting_N_100_alpha_2.60_inst_8_sparse.h5,100,-129.62177,-129.6217803955078,-8.019877999324151e-6,0.195221268
wishart_planting_N_100_alpha_2.60_inst_9_sparse.h5,100,-130.49086,-130.49085998535156,1.1225640902046705e-8,0.211436919
wishart_planting_N_100_alpha_2.60_inst_10_sparse.h5,100,-130.27243,-130.27243041992188,-3.2234131261631293e-7,0.199991868
wishart_planting_N_100_alpha_2.80_inst_1_sparse.h5,100,-140.88919,-140.88917541503906,1.0352079496638185e-5,0.193230082
wishart_planting_N_100_alpha_2.80_inst_2_sparse.h5,100,-141.5482,-141.54820251464844,-1.7765315482935843e-6,0.1840246
wishart_planting_N_100_alpha_2.80_inst_3_sparse.h5,100,-141.0404,-141.0404052734375,-3.7389552884701517e-6,0.189003785
wishart_planting_N_100_alpha_2.80_inst_4_sparse.h5,100,-140.28052,-140.28050231933594,1.2603791359029545e-5,0.19376868
wishart_planting_N_100_alpha_2.80_inst_5_sparse.h5,100,-140.1908,-140.1907958984375,2.925700185648273e-6,0.215790534
