instance,num_var,ground_energy,pa_energy,gap,pa_runtime
3R3X_Ising_with_HUBO_Float64_100_9_sparse.h5,100,-50.0,-49.0,2.0,0.01103388
3R3X_Ising_with_HUBO_Float64_200_10_sparse.h5,200,-100.0,-96.5,3.5000000000000004,0.018689033
3R3X_Ising_with_HUBO_Float64_200_1_sparse.h5,200,-100.0,-96.5,3.5000000000000004,0.019840979
3R3X_Ising_with_HUBO_Float64_200_2_sparse.h5,200,-100.0,-96.5,3.5000000000000004,0.020994546
3R3X_Ising_with_HUBO_Float64_200_3_sparse.h5,200,-100.0,-97.0,3.0,0.017445807
3R3X_Ising_with_HUBO_Float64_200_4_sparse.h5,200,-100.0,-96.0,4.0,0.017860007
3R3X_Ising_with_HUBO_Float64_200_5_sparse.h5,200,-100.0,-95.5,4.5,0.019779989
3R3X_Ising_with_HUBO_Float64_200_6_sparse.h5,200,-100.0,-96.5,3.5000000000000004,0.018518879
3R3X_Ising_with_HUBO_Float64_200_7_sparse.h5,200,-100.0,-96.5,3.5000000000000004,0.019636366
3R3X_Ising_with_HUBO_Float64_200_8_sparse.h5,200,-100.0,-96.5,3.5000000000000004,0.019352907
3R3X_Ising_with_HUBO_Float64_200_9_sparse.h5,200,-100.0,-96.0,4.0,0.018639696
3R3X_Ising_with_HUBO_Float64_400_10_sparse.h5,400,-200.0,-190.0,5.0,0.038619745
3R3X_Ising_with_HUBO_Float64_400_1_sparse.h5,400,-200.0,-190.0,5.0,0.03592459
3R3X_Ising_with_HUBO_Float64_400_2_sparse.h5,400,-200.0,-189.0,5.5,0.038808372
3R3X_Ising_with_HUBO_Float64_400_3_sparse.h5,400,-200.0,-190.5,4.75,0.037427309
3R3X_Ising_with_HUBO_Float64_400_4_sparse.h5,400,-200.0,-190.0,5.0,0.037032812
3R3X_Ising_with_HUBO_Float64_400_5_sparse.h5,400,-200.0,-190.5,4.75,0.036393139
3R3X_Ising_with_HUBO_Float64_400_6_sparse.h5,400,-200.0,-190.5,4.75,0.036918189
3R3X_Ising_with_HUBO_Float64_400_7_sparse.h5,400,-200.0,-191.0,4.5,0.038596613
3R3X_Ising_with_HUBO_Float64_400_8_sparse.h5,400,-200.0,-190.5,4.75,0.03829022
3R3X_Ising_with_HUBO_Float64_400_9_sparse.h5,400,-200.0,-189.5,5.25,0.036609748
3R3X_Ising_with_HUBO_Float64_600_10_sparse.h5,600,-300.0,-282.5,5.833333333333333,0.060653771
3R3X_Ising_with_HUBO_Float64_600_1_sparse.h5,600,-300.0,-284.0,5.333333333333334,0.061142176
3R3X_Ising_with_HUBO_Float64_600_2_sparse.h5,600,-300.0,-283.5,5.5,0.061393049
3R3X_Ising_with_HUBO_Float64_600_3_sparse.h5,600,-300.0,-283.0,5.666666666666666,0.059693696
3R3X_Ising_with_HUBO_Float64_600_4_sparse.h5,600,-300.0,-283.5,5.5,0.062248746
3R3X_Ising_with_HUBO_Float64_600_5_sparse.h5,600,-300.0,-283.0,5.666666666666666,0.063428074
3R3X_Ising_with_HUBO_Float64_600_6_sparse.h5,600,-300.0,-283.5,5.5,0.058946528
3R3X_Ising_with_HUBO_Float64_600_7_sparse.h5,600,-300.0,-284.5,5.166666666666667,0.061259583
3R3X_Ising_with_HUBO_Float64_600_8_sparse.h5,600,-300.0,-284.5,5.166666666666667,0.061078997
3R3X_Ising_with_HUBO_Float64_600_9_sparse.h5,600,-300.0,-284.5,5.166666666666667,0.060428343
3R3X_Ising_with_HUBO_Float64_1000_10_sparse.h5,1000,-500.0,-470.0,6.0,0.110078985
3R3X_Ising_with_HUBO_Float64_1000_1_sparse.h5,1000,-500.0,-470.0,6.0,0.108564974
3R3X_Ising_with_HUBO_Float64_1000_2_sparse.h5,1000,-500.0,-470.5,5.8999999999999995,0.110326956
3R3X_Ising_with_HUBO_Float64_1000_3_sparse.h5,1000,-500.0,-472.0,5.6000000000000005,0.112968845
3R3X_Ising_with_HUBO_Float64_1000_4_sparse.h5,1000,-500.0,-471.0,5.800000000000001,0.109276096
3R3X_Ising_with_HUBO_Float64_1000_5_sparse.h5,1000,-500.0,-469.5,6.1,0.111245615
