instance,num_var,density,velox_energy,gap,runtime_velox
3R3X_Ising_with_HUBO_Float64_1000_2_sparse.h5,1000,0.005996,-481.0,3.8,0.064910467
3R3X_Ising_with_HUBO_Float64_1000_3_sparse.h5,1000,0.005998,-482.0,3.6,0.069999381
3R3X_Ising_with_HUBO_Float64_1000_4_sparse.h5,1000,0.00599,-481.0,3.8,0.066789366
3R3X_Ising_with_HUBO_Float64_1000_5_sparse.h5,1000,0.005994,-481.5,3.7,0.097000873
3R3X_Ising_with_HUBO_Float64_1000_6_sparse.h5,1000,0.00599,-481.0,3.8,0.065605174
3R3X_Ising_with_HUBO_Float64_1000_7_sparse.h5,1000,0.005986,-481.5,3.7,0.065151103
3R3X_Ising_with_HUBO_Float64_1000_8_sparse.h5,1000,0.005982,-481.0,3.8,0.066049673
3R3X_Ising_with_HUBO_Float64_1000_9_sparse.h5,1000,0.005992,-479.5,4.1,0.09650133
3R3X_Ising_with_HUBO_Float64_2000_10_sparse.h5,2000,0.002996,-956.0,4.4,0.110909402
3R3X_Ising_with_HUBO_Float64_2000_1_sparse.h5,2000,0.002998,-956.5,4.35,0.11372942
3R3X_Ising_with_HUBO_Float64_2000_2_sparse.h5,2000,0.0029985,-956.0,4.4,0.132528951
3R3X_Ising_with_HUBO_Float64_2000_3_sparse.h5,2000,0.0029985,-961.0,3.9,0.110473309
3R3X_Ising_with_HUBO_Float64_2000_4_sparse.h5,2000,0.002998,-958.5,4.1499996,0.166584154
3R3X_Ising_with_HUBO_Float64_2000_5_sparse.h5,2000,0.0029965,-957.0,4.3,0.109771869
3R3X_Ising_with_HUBO_Float64_2000_6_sparse.h5,2000,0.002999,-956.0,4.4,0.131144585
3R3X_Ising_with_HUBO_Float64_2000_7_sparse.h5,2000,0.002998,-956.5,4.35,0.110083512
3R3X_Ising_with_HUBO_Float64_2000_8_sparse.h5,2000,0.0029975,-957.5,4.25,0.111642539
3R3X_Ising_with_HUBO_Float64_2000_9_sparse.h5,2000,0.0029995,-957.0,4.3,0.10941535
3R3X_Ising_Float64_1_v=1.0.h5,10000,0.00059992,-19050.0,4.75,0.679380414
3R3X_Ising_Float64_2_v=1.0.h5,10000,0.00059988,-19054.0,4.73,0.47963324
3R3X_Ising_Float64_3_v=1.0.h5,10000,0.00059994,-19058.0,4.71,0.479194593
3R3X_Ising_Float64_4_v=1.0.h5,10000,0.00059986,-19028.0,4.86,0.623244286
3R3X_Ising_Float64_5_v=1.0.h5,10000,0.00059984,-19060.0,4.7,0.481030561
3R3X_Ising_Float64_6_v=1.0.h5,10000,0.0005999,-19040.0,4.8,0.509222911
3R3X_Ising_Float64_7_v=1.0.h5,10000,0.0005999,-19044.0,4.78,0.486845976
3R3X_Ising_Float64_8_v=1.0.h5,10000,0.00059982,-19060.0,4.7,0.482693288
3R3X_Ising_Float64_9_v=1.0.h5,10000,0.00059992,-19040.0,4.8,0.480198284
3R3X_Ising_Float64_10_v=1.0.h5,10000,0.00059996,-19032.0,4.84,0.4801421
3R3X_Ising_Float64_1_v=1.0.h5,20000,0.000299945,-38044.0,4.89,1.069468695
3R3X_Ising_Float64_2_v=1.0.h5,20000,0.000299975,-38062.0,4.8450003,0.941137649
3R3X_Ising_Float64_3_v=1.0.h5,20000,0.00029999,-38056.0,4.86,0.949662836
3R3X_Ising_Float64_4_v=1.0.h5,20000,0.00029997,-38048.0,4.88,1.033790009
3R3X_Ising_Float64_5_v=1.0.h5,20000,0.00029998,-38046.0,4.885,1.026446829
3R3X_Ising_Float64_6_v=1.0.h5,20000,0.000299975,-38054.0,4.8650002,0.930581896
3R3X_Ising_Float64_7_v=1.0.h5,20000,0.00029997,-38036.0,4.91,0.929427153
3R3X_Ising_Float64_8_v=1.0.h5,20000,0.000299985,-38038.0,4.9049997,1.057336429
3R3X_Ising_Float64_9_v=1.0.h5,20000,0.00029999,-38012.0,4.97,1.015499359
3R3X_Ising_Float64_10_v=1.0.h5,20000,0.00029998,-38068.0,4.8300004,0.9543544
3R3X_Ising_Float64_1_v=1.0.h5,30000,0.00019999111111111112,-57036.0,4.94,1.828452124
3R3X_Ising_Float64_2_v=1.0.h5,30000,0.00019999333333333333,-57086.0,4.8566666,1.391609429
