instance,num_var,ground_energy,sbm_energy,gap,sbm_runtime
3R3X_Ising_with_HUBO_Float64_90_4_sparse.h5,90,-45.0,-43.0,4.444444444444445,0.063561106
3R3X_Ising_with_HUBO_Float64_90_5_sparse.h5,90,-45.0,-43.5,3.3333333333333335,0.063642695
3R3X_Ising_with_HUBO_Float64_90_6_sparse.h5,90,-45.0,-42.5,5.555555555555555,0.063616774
3R3X_Ising_with_HUBO_Float64_90_7_sparse.h5,90,-45.0,-42.5,5.555555555555555,0.063641122
3R3X_Ising_with_HUBO_Float64_90_8_sparse.h5,90,-45.0,-42.5,5.555555555555555,0.063624937
3R3X_Ising_with_HUBO_Float64_90_9_sparse.h5,90,-45.0,-42.5,5.555555555555555,0.066396186
3R3X_Ising_with_HUBO_Float64_100_10_sparse.h5,100,-50.0,-47.5,5.0,0.064221981
3R3X_Ising_with_HUBO_Float64_100_1_sparse.h5,100,-50.0,-46.5,7.000000000000001,0.064085879
3R3X_Ising_with_HUBO_Float64_100_2_sparse.h5,100,-50.0,-46.5,7.000000000000001,0.064027225
3R3X_Ising_with_HUBO_Float64_100_3_sparse.h5,100,-50.0,-47.5,5.0,0.064041746
3R3X_Ising_with_HUBO_Float64_100_4_sparse.h5,100,-50.0,-46.5,7.000000000000001,0.066263054
3R3X_Ising_with_HUBO_Float64_100_5_sparse.h5,100,-50.0,-47.5,5.0,0.06410674
3R3X_Ising_with_HUBO_Float64_100_6_sparse.h5,100,-50.0,-47.5,5.0,0.064012158
3R3X_Ising_with_HUBO_Float64_100_7_sparse.h5,100,-50.0,-48.0,4.0,0.063997129
3R3X_Ising_with_HUBO_Float64_100_8_sparse.h5,100,-50.0,-48.0,4.0,0.063994695
3R3X_Ising_with_HUBO_Float64_100_9_sparse.h5,100,-50.0,-47.5,5.0,0.064036659
3R3X_Ising_with_HUBO_Float64_200_10_sparse.h5,200,-100.0,-90.5,9.5,0.065880905
3R3X_Ising_with_HUBO_Float64_200_1_sparse.h5,200,-100.0,-91.5,8.5,0.064070573
3R3X_Ising_with_HUBO_Float64_200_2_sparse.h5,200,-100.0,-93.0,7.000000000000001,0.064163509
3R3X_Ising_with_HUBO_Float64_200_3_sparse.h5,200,-100.0,-90.0,10.0,0.064080348
3R3X_Ising_with_HUBO_Float64_200_4_sparse.h5,200,-100.0,-91.5,8.5,0.064045322
3R3X_Ising_with_HUBO_Float64_200_5_sparse.h5,200,-100.0,-90.5,9.5,0.064155345
3R3X_Ising_with_HUBO_Float64_200_6_sparse.h5,200,-100.0,-92.5,7.5,0.065445704
3R3X_Ising_with_HUBO_Float64_200_7_sparse.h5,200,-100.0,-91.0,9.0,0.064138017
3R3X_Ising_with_HUBO_Float64_200_8_sparse.h5,200,-100.0,-91.0,9.0,0.064087769
3R3X_Ising_with_HUBO_Float64_200_9_sparse.h5,200,-100.0,-92.0,8.0,0.064035272
