instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomIsingDWaveZephyr_5_dense_10.h5,859,-624.3534,-619.30646,-0.81493354,0.069230104,0.006778398
randomIsingDWaveZephyr_5_dense_11.h5,859,-650.7162,-647.83716,-0.44440618,0.076868253,0.007979903
randomIsingDWaveZephyr_5_dense_12.h5,859,-661.3938,-660.2464,-0.1737836,0.070033518,0.007903404
randomIsingDWaveZephyr_5_dense_13.h5,859,-642.6741,-642.5138,-0.024945507,0.0710409,0.008711341
randomIsingDWaveZephyr_5_dense_14.h5,859,-632.4475,-629.238,-0.51006675,0.069636304,0.008596088
randomIsingDWaveZephyr_5_dense_15.h5,859,-632.3853,-631.20013,-0.18776622,0.071439126,0.008544823
randomIsingDWaveZephyr_5_dense_16.h5,859,-622.0066,-620.7418,-0.20375144,0.099620711,0.199294132
randomIsingDWaveZephyr_5_dense_17.h5,859,-634.3508,-633.696,-0.1033376,0.066542327,0.006227098
randomIsingDWaveZephyr_5_dense_18.h5,859,-639.166,-638.1283,-0.1626193,0.066910001,0.006022661
randomIsingDWaveZephyr_5_dense_19.h5,859,-645.4441,-644.25574,-0.18445385,0.067692648,0.00595473
randomIsingDWaveZephyr_5_dense_2.h5,859,-648.711,-648.23846,-0.07289512,0.066695579,0.006652022
randomIsingDWaveZephyr_5_dense_20.h5,859,-655.706,-655.5651,-0.021488199,0.067545528,0.006284546
randomIsingDWaveZephyr_5_dense_3.h5,859,-635.7012,-632.2862,-0.54010004,0.067063277,0.005934698
randomIsingDWaveZephyr_5_dense_4.h5,859,-652.0488,-650.4639,-0.24365684,0.065919192,0.005913664
randomIsingDWaveZephyr_5_dense_5.h5,859,-646.7554,-644.9251,-0.28379437,0.162804963,0.00648898
randomIsingDWaveZephyr_5_dense_6.h5,859,-651.0386,-650.2201,-0.12587759,0.065777765,0.006051597
randomIsingDWaveZephyr_5_dense_7.h5,859,-640.21576,-638.55396,-0.2602449,0.066108641,0.006675286
randomIsingDWaveZephyr_5_dense_8.h5,859,-638.9983,-636.81244,-0.34324893,0.067340929,0.006585141
randomIsingDWaveZephyr_5_dense_9.h5,859,-652.603,-652.603,0.0,0.067787719,0.006601801
randomIsingDWaveZephyr_6_dense_1.h5,1217,-915.32965,-913.3146,-0.22063325,0.101860441,0.014339028
randomIsingDWaveZephyr_6_dense_10.h5,1217,-914.4547,-905.15283,-1.0276585,0.176068164,0.013302173
randomIsingDWaveZephyr_6_dense_11.h5,1217,-922.78296,-914.7981,-0.87285525,0.097151988,0.01342345
randomIsingDWaveZephyr_6_dense_12.h5,1217,-917.1281,-909.2044,-0.8714989,0.100471054,0.013859603
randomIsingDWaveZephyr_6_dense_13.h5,1217,-884.192,-867.4353,-1.9317538,0.130444504,0.015680836
randomIsingDWaveZephyr_6_dense_14.h5,1217,-899.4281,-889.67255,-1.0965332,0.097424253,0.012855019
randomIsingDWaveZephyr_6_dense_15.h5,1217,-921.8511,-909.21564,-1.3897074,0.096523723,0.011668417
randomIsingDWaveZephyr_6_dense_16.h5,1217,-904.8977,-895.45435,-1.0545886,0.096659489,0.011596629
randomIsingDWaveZephyr_6_dense_17.h5,1217,-909.8363,-905.45197,-0.48421547,0.100084177,0.045073175
randomIsingDWaveZephyr_6_dense_18.h5,1217,-893.72986,-880.6595,-1.4841574,0.096405843,0.011635022
randomIsingDWaveZephyr_6_dense_19.h5,1217,-902.34985,-891.3467,-1.2344438,0.096236859,0.011826399
randomIsingDWaveZephyr_6_dense_2.h5,1217,-941.7688,-939.6499,-0.2254985,0.126856844,0.013242466
randomIsingDWaveZephyr_6_dense_20.h5,1217,-883.4298,-867.81964,-1.7987802,0.09711561,0.013047745
randomIsingDWaveZephyr_6_dense_3.h5,1217,-909.40515,-890.7452,-2.0948722,0.096670746,0.011687756
randomIsingDWaveZephyr_6_dense_4.h5,1217,-897.8599,-886.8309,-1.2436478,0.096777554,0.011498012
randomIsingDWaveZephyr_6_dense_5.h5,1217,-901.39954,-897.4442,-0.44073182,0.100775724,0.042902074
randomIsingDWaveZephyr_6_dense_6.h5,1217,-917.47205,-909.5963,-0.8658492,0.097023254,0.011842114
randomIsingDWaveZephyr_6_dense_7.h5,1217,-924.3714,-915.641,-0.953475,0.095986986,0.011935156
randomIsingDWaveZephyr_6_dense_8.h5,1217,-889.11523,-878.2386,-1.2384617,0.132624439,0.012920466
randomIsingDWaveZephyr_6_dense_9.h5,1217,-890.34875,-881.5442,-0.9987662,0.096655751,0.011938615
randomIsingDWaveZephyr_7_dense_1.h5,1680,-1313.5051,-1290.0283,-1.8198675,0.132410937,0.022722168
randomIsingDWaveZephyr_7_dense_10.h5,1680,-1272.8356,-1265.423,-0.58578026,0.133312669,0.053517904
randomIsingDWaveZephyr_7_dense_11.h5,1680,-1293.804,-1270.992,-1.7948196,0.134029389,0.022719647
randomIsingDWaveZephyr_7_dense_12.h5,1680,-1288.5007,-1250.2341,-3.0607548,0.129399642,0.041046506
randomIsingDWaveZephyr_7_dense_13.h5,1680,-1288.6641,-1267.2509,-1.6897371,0.128281584,0.023021683
randomIsingDWaveZephyr_7_dense_14.h5,1680,-1288.7742,-1284.9095,-0.3007701,0.128236439,0.038785964
randomIsingDWaveZephyr_7_dense_15.h5,1680,-1283.6859,-1245.4913,-3.0666275,0.127828555,0.020709082
randomIsingDWaveZephyr_7_dense_16.h5,1680,-1289.5374,-1288.2649,-0.09877323,0.130344568,0.037160308
randomIsingDWaveZephyr_7_dense_17.h5,1680,-1275.6373,-1251.3108,-1.9440844,0.129249086,0.020620515
randomIsingDWaveZephyr_7_dense_18.h5,1680,-1306.2056,-1302.7798,-0.26295936,0.147603719,0.020449142
randomIsingDWaveZephyr_7_dense_19.h5,1680,-1269.1357,-1238.0076,-2.5143766,0.128736538,0.020472405
randomIsingDWaveZephyr_7_dense_2.h5,1680,-1303.2931,-1273.2897,-2.3563702,0.144246443,0.020492552
randomIsingDWaveZephyr_7_dense_20.h5,1680,-1279.6301,-1237.4165,-3.411432,0.15297257,0.022004178
randomIsingDWaveZephyr_7_dense_3.h5,1680,-1263.854,-1262.8053,-0.08304574,0.155843385,0.022785629
randomIsingDWaveZephyr_7_dense_4.h5,1680,-1287.7384,-1253.0801,-2.7658508,0.135679989,0.022614692
randomIsingDWaveZephyr_7_dense_5.h5,1680,-1300.9473,-1267.6578,-2.6260579,0.153862935,0.02041888
randomIsingDWaveZephyr_7_dense_6.h5,1680,-1296.9572,-1267.5839,-2.3172662,0.136154451,0.025956337
randomIsingDWaveZephyr_7_dense_7.h5,1680,-1300.2542,-1271.5022,-2.2612586,0.129738326,0.021139693
randomIsingDWaveZephyr_7_dense_8.h5,1680,-1295.6218,-1281.2441,-1.1221659,0.133075661,0.020461929
randomIsingDWaveZephyr_7_dense_9.h5,1680,-1309.3264,-1295.1892,-1.0915167,0.129376508,0.020750414
randomIsingDWaveZephyr_8_dense_1.h5,2176,-1655.0509,-1622.9973,-1.9749625,0.179022538,0.063033054
randomIsingDWaveZephyr_8_dense_10.h5,2176,-1666.19,-1623.481,-2.6307044,0.193109523,0.04237261
randomIsingDWaveZephyr_8_dense_11.h5,2176,-1680.9346,-1668.7305,-0.73134047,0.197071391,0.045888572
randomIsingDWaveZephyr_8_dense_12.h5,2176,-1717.0292,-1712.6783,-0.2540366,0.18748417,0.046084081
randomIsingDWaveZephyr_8_dense_13.h5,2176,-1653.6401,-1638.9801,-0.89446074,0.194010861,0.075088962
randomIsingDWaveZephyr_8_dense_14.h5,2176,-1671.8694,-1650.5813,-1.2897327,0.195265774,0.04596692
randomIsingDWaveZephyr_8_dense_15.h5,2176,-1724.916,-1714.3567,-0.6159352,0.1858594,0.03416764
randomIsingDWaveZephyr_8_dense_16.h5,2176,-1723.4639,-1713.6958,-0.57,0.18076098,0.060156042
randomIsingDWaveZephyr_8_dense_17.h5,2176,-1684.4379,-1682.5752,-0.11070358,0.204143723,0.046408871
randomIsingDWaveZephyr_8_dense_18.h5,2176,-1658.5835,-1615.07,-2.6942208,0.183075327,0.034807947
randomIsingDWaveZephyr_8_dense_19.h5,2176,-1616.9996,-1609.2906,-0.47902995,0.189017207,0.041752654
randomIsingDWaveZephyr_8_dense_2.h5,2176,-1708.0762,-1623.6819,-5.1977105,0.190904494,0.041845292
randomIsingDWaveZephyr_8_dense_20.h5,2176,-1693.8528,-1688.6154,-0.31016102,0.193993847,0.044159198
randomIsingDWaveZephyr_8_dense_3.h5,2176,-1657.3342,-1652.2015,-0.31065765,0.179319602,0.061424535
randomIsingDWaveZephyr_8_dense_4.h5,2176,-1663.3969,-1656.4539,-0.419148,0.193799965,0.044240985
randomIsingDWaveZephyr_8_dense_5.h5,2176,-1645.4663,-1643.8217,-0.1000506,0.183992909,0.038440753
randomIsingDWaveZephyr_8_dense_6.h5,2176,-1683.5356,-1674.569,-0.53546166,0.18329449,0.054009867
randomIsingDWaveZephyr_8_dense_7.h5,2176,-1699.9077,-1697.0375,-0.16913235,0.200869354,0.03811275
randomIsingDWaveZephyr_8_dense_8.h5,2176,-1646.9993,-1642.798,-0.25574017,0.177079184,0.034360911
randomIsingDWaveZephyr_8_dense_9.h5,2176,-1678.5972,-1675.1302,-0.20696414,0.211203191,0.041278376
randomIsingDWaveZephyr_9_dense_1.h5,2736,-2118.915,-1983.4987,-6.8271475,0.245590577,0.053667481
randomIsingDWaveZephyr_9_dense_10.h5,2736,-2086.5215,-2051.8584,-1.6893508,0.247806467,0.052915359
randomIsingDWaveZephyr_9_dense_11.h5,2736,-2103.0408,-1917.6866,-9.665506,0.254591031,0.052890878
randomIsingDWaveZephyr_9_dense_12.h5,2736,-2098.7793,-1942.7668,-8.030426,0.236084247,0.053272172
randomIsingDWaveZephyr_9_dense_13.h5,2736,-2136.0024,-2054.1624,-3.98411,0.241331879,0.087171132
randomIsingDWaveZephyr_9_dense_14.h5,2736,-2113.7305,-2070.9038,-2.0680177,0.236351763,0.080551004
randomIsingDWaveZephyr_9_dense_15.h5,2736,-2116.9734,-2100.2217,-0.79761624,0.243540593,0.06529767
randomIsingDWaveZephyr_9_dense_16.h5,2736,-2100.458,-2010.6794,-4.465086,0.253096348,0.064140736
randomIsingDWaveZephyr_9_dense_17.h5,2736,-2123.954,-1981.8291,-7.1714053,0.254125235,0.070724824
randomIsingDWaveZephyr_9_dense_18.h5,2736,-2079.8066,-2009.9786,-3.4740667,0.243573606,0.065928605
randomIsingDWaveZephyr_9_dense_19.h5,2736,-2088.5518,-1930.4064,-8.192337,0.239188947,0.064849149
randomIsingDWaveZephyr_9_dense_2.h5,2736,-2123.7947,-2042.1885,-3.9960172,0.237175116,0.073506884
randomIsingDWaveZephyr_9_dense_20.h5,2736,-2113.6511,-1945.4689,-8.644818,0.224216868,0.080117568
randomIsingDWaveZephyr_9_dense_3.h5,2736,-2130.3083,-1964.0406,-8.465593,0.257266947,0.071321736
randomIsingDWaveZephyr_9_dense_4.h5,2736,-2051.3848,-1914.47,-7.151577,0.240375366,0.053766589
randomIsingDWaveZephyr_9_dense_5.h5,2736,-2112.684,-2101.468,-0.5337252,0.227425405,0.083560388
randomIsingDWaveZephyr_9_dense_6.h5,2736,-2121.2686,-2088.7434,-1.5571634,0.228146847,0.07213689
randomIsingDWaveZephyr_9_dense_7.h5,2736,-2125.6812,-2112.1206,-0.6420347,0.248594868,0.064479082
randomIsingDWaveZephyr_9_dense_8.h5,2736,-2115.7969,-1969.7806,-7.4128175,0.234608053,0.053919826
randomIsingDWaveZephyr_9_dense_9.h5,2736,-2098.4253,-1942.2124,-8.043038,0.235143788,0.076336767
randomIsingDWaveZephyr_10_dense_1.h5,3360,-2661.7708,-2500.5073,-6.4492283,0.355748235,0.119858487
randomIsingDWaveZephyr_10_dense_10.h5,3360,-2634.1973,-2459.6255,-7.0974946,0.353353955,0.119468376
randomIsingDWaveZephyr_10_dense_11.h5,3360,-2614.4177,-2461.9944,-6.1910515,0.352331362,0.120402624
randomIsingDWaveZephyr_10_dense_12.h5,3360,-2593.6938,-2385.1204,-8.744779,0.356153207,0.118279931
randomIsingDWaveZephyr_10_dense_13.h5,3360,-2604.3853,-2420.457,-7.5989046,0.354904709,0.121683369
randomIsingDWaveZephyr_10_dense_14.h5,3360,-2597.1238,-2464.846,-5.366576,0.359324772,0.119768677
randomIsingDWaveZephyr_10_dense_15.h5,3360,-2631.9854,-2469.3894,-6.5844593,0.362149232,0.879138078
randomIsingDWaveZephyr_10_dense_16.h5,3360,-2582.204,-2548.6575,-1.3162471,0.363240806,0.839072705
randomIsingDWaveZephyr_10_dense_17.h5,3360,-2644.2734,-2474.113,-6.8776326,0.366348056,0.852558287
randomIsingDWaveZephyr_10_dense_18.h5,3360,-2578.2856,-2369.9075,-8.792671,0.370978821,0.837022666
randomIsingDWaveZephyr_10_dense_19.h5,3360,-2607.5684,-2542.0535,-2.5772429,0.369850412,0.835648051
randomIsingDWaveZephyr_10_dense_3.h5,3360,-2621.08,-2426.4924,-8.019298,0.372079772,0.832316397
randomIsingDWaveZephyr_10_dense_4.h5,3360,-2618.9307,-2422.8289,-8.093919,0.365286952,0.827783176
randomIsingDWaveZephyr_10_dense_5.h5,3360,-2574.381,-2541.4348,-1.2963657,0.368518686,0.819388339
randomIsingDWaveZephyr_10_dense_6.h5,3360,-2610.5635,-2416.6616,-8.023542,0.360640808,0.8212337
randomIsingDWaveZephyr_10_dense_7.h5,3360,-2599.2065,-2382.483,-9.096545,0.386379078,0.824915989
randomIsingDWaveZephyr_10_dense_8.h5,3360,-2566.4167,-2362.4956,-8.631599,0.377857862,0.827379402
randomIsingDWaveZephyr_10_dense_9.h5,3360,-2612.6255,-2435.3445,-7.2795043,0.373676812,0.848155899
randomIsingDWaveZephyr_11_dense_1.h5,4048,-3148.9336,-2944.099,-6.9574585,0.482179299,1.19748303
randomIsingDWaveZephyr_11_dense_10.h5,4048,-3225.9604,-2979.577,-8.269078,0.494408592,1.182248794
randomIsingDWaveZephyr_11_dense_11.h5,4048,-3136.5625,-2949.3335,-6.34818,0.454426923,1.212882829
randomIsingDWaveZephyr_11_dense_12.h5,4048,-3160.7124,-2963.5,-6.6547127,0.459528485,1.182465857
randomIsingDWaveZephyr_11_dense_13.h5,4048,-3161.793,-2821.5989,-12.056785,0.472468636,1.195891104
randomIsingDWaveZephyr_11_dense_14.h5,4048,-3072.9248,-2843.957,-8.051028,0.474849268,1.199323141
randomIsingDWaveZephyr_11_dense_15.h5,4048,-3151.2725,-2904.7363,-8.487384,0.480185533,1.186757449
randomIsingDWaveZephyr_11_dense_16.h5,4048,-3156.54,-2962.854,-6.5371437,0.481608383,1.189536543
randomIsingDWaveZephyr_11_dense_17.h5,4048,-3138.0938,-3042.87,-3.1294017,0.503277614,1.206035616
randomIsingDWaveZephyr_11_dense_18.h5,4048,-3179.9805,-2971.9136,-7.0011086,0.497249736,1.19171666
randomIsingDWaveZephyr_11_dense_19.h5,4048,-3180.5337,-3099.1406,-2.6263108,0.487531097,1.191404866
randomIsingDWaveZephyr_11_dense_2.h5,4048,-3051.543,-2809.7515,-8.605441,0.488826166,1.205650148
randomIsingDWaveZephyr_11_dense_20.h5,4048,-3150.0037,-2900.1748,-8.614269,0.661470535,1.182402622
randomIsingDWaveZephyr_11_dense_3.h5,4048,-3169.3848,-2961.95,-7.0033193,0.567785257,1.188497371
randomIsingDWaveZephyr_11_dense_4.h5,4048,-3137.871,-2844.7695,-10.303174,0.495953073,1.194468204
randomIsingDWaveZephyr_11_dense_5.h5,4048,-3149.0042,-2891.194,-8.917079,0.469051981,1.216546587
randomIsingDWaveZephyr_11_dense_6.h5,4048,-3189.9556,-3000.8455,-6.301894,0.458607378,1.199650307
randomIsingDWaveZephyr_11_dense_7.h5,4048,-3155.666,-3037.3855,-3.8941555,0.490562886,1.205802891
randomIsingDWaveZephyr_11_dense_8.h5,4048,-3140.7498,-2852.775,-10.094552,0.469816563,1.217519065
randomIsingDWaveZephyr_11_dense_9.h5,4048,-3125.8047,-3025.7798,-3.3057563,0.477398887,1.213271266
randomIsingDWaveZephyr_12_dense_1.h5,4800,-3714.4087,-3384.012,-9.763462,0.673212518,1.68136903
randomIsingDWaveZephyr_12_dense_10.h5,4800,-3728.019,-3461.1501,-7.7104106,0.726387954,1.682141235
randomIsingDWaveZephyr_12_dense_11.h5,4800,-3683.7312,-3621.282,-1.7245058,0.678053033,1.679044842
randomIsingDWaveZephyr_12_dense_12.h5,4800,-3749.0903,-3430.775,-9.278237,0.676806579,1.722346789
randomIsingDWaveZephyr_12_dense_13.h5,4800,-3742.5637,-3621.3582,-3.3469644,0.74685745,1.711637537
randomIsingDWaveZephyr_12_dense_14.h5,4800,-3689.191,-3406.788,-8.289416,0.686941071,1.668308834
randomIsingDWaveZephyr_12_dense_15.h5,4800,-3721.791,-3542.9744,-5.047077,0.755038914,1.838321543
randomIsingDWaveZephyr_12_dense_16.h5,4800,-3792.5173,-3489.72,-8.676838,0.704060427,1.698997752
randomIsingDWaveZephyr_12_dense_17.h5,4800,-3712.873,-3335.034,-11.329393,0.693772046,1.691996124
randomIsingDWaveZephyr_12_dense_18.h5,4800,-3776.3203,-3497.5793,-7.9695396,0.688029188,1.676131354
randomIsingDWaveZephyr_12_dense_19.h5,4800,-3735.4229,-3337.7075,-11.915823,0.695505136,1.705137799
randomIsingDWaveZephyr_12_dense_2.h5,4800,-3751.6074,-3510.633,-6.864128,0.713916908,1.694538304
randomIsingDWaveZephyr_12_dense_20.h5,4800,-3775.0776,-3507.5188,-7.628151,0.674419324,1.684544594
randomIsingDWaveZephyr_12_dense_3.h5,4800,-3723.204,-3610.8765,-3.1108136,0.7834729,1.756943877
randomIsingDWaveZephyr_12_dense_4.h5,4800,-3729.2915,-3500.4102,-6.538701,0.701366979,1.658721341
randomIsingDWaveZephyr_12_dense_5.h5,4800,-3661.0586,-3405.1091,-7.51663,0.689318318,1.687424574
randomIsingDWaveZephyr_12_dense_6.h5,4800,-3777.7231,-3428.3274,-10.191435,0.6553295,1.676934161
randomIsingDWaveZephyr_12_dense_7.h5,4800,-3715.8552,-3449.9036,-7.708959,0.682177024,1.664839509
randomIsingDWaveZephyr_12_dense_8.h5,4800,-3676.1006,-3400.1855,-8.114705,0.657446868,1.689082509
randomIsingDWaveZephyr_12_dense_9.h5,4800,-3738.1987,-3495.856,-6.9322867,0.687115107,1.702571194
randomIsingDWaveZephyr_13_dense_1.h5,5616,-4352.882,-3996.3887,-8.9203825,0.872626561,2.29685781
randomIsingDWaveZephyr_13_dense_10.h5,5616,-4373.998,-3996.1047,-9.456541,0.935011618,2.265472335
randomIsingDWaveZephyr_13_dense_11.h5,5616,-4352.6255,-3920.7207,-11.015954,0.857869033,2.313921819
